Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   151	-4.0989e-06	-0.566	0.566
   152	-3.32349e-06	-0.566	0.566
   153	-2.72788e-06	-0.566	0.566
   154	-4.38301e-06	-0.566	0.566
   155	-4.70999e-06	-0.566	0.566
   156	-2.45909e-06	-0.566	0.566
   157	-3.96513e-06	-0.566	0.566
   158	-2.87056e-06	-0.566	0.566
   159	-5.19187e-06	-0.566	0.566
   160	-4.02251e-06	-0.566	0.566
   161	-4.85148e-06	-0.566	0.566
   162	-5.56909e-06	-0.566	0.566
   163	-4.61011e-06	-0.566	0.566
   164	-3.04933e-06	-0.566	0.566
   165	-4.4157e-06	-0.566	0.566
   166	-4.61211e-06	-0.566	0.566
   167	-2.27835e-06	-0.566	0.566
   168	-2.55145e-06	-0.566	0.566
   169	-2.88097e-06	-0.566	0.566
   170	-2.94648e-06	-0.566	0.566
   171	-3.40482e-06	-0.566	0.566
   172	-3.6984e-06	-0.566	0.566
   173	-4.1338e-06	-0.566	0.566
   174	-3.95861e-06	-0.566	0.566
   175	-2.97399e-06	-0.566	0.566
   176	-3.84331e-06	-0.566	0.566
   177	-2.76867e-06	-0.566	0.566
   178	-2.62963e-06	-0.566	0.566
   179	-1.96542e-06	-0.566	0.566
   180	-3.13558e-06	-0.566	0.566
   181	-4.37146e-06	-0.566	0.566
   182	-4.0022e-06	-0.566	0.566
   183	-4.11946e-06	-0.566	0.566
   184	-1.94733e-06	-0.566	0.566
   185	-3.64595e-06	-0.566	0.566
   186	-4.30873e-06	-0.566	0.566
   187	-4.25902e-06	-0.566	0.566
   188	-3.91892e-06	-0.566	0.566
   189	-2.8416e-06	-0.566	0.566
   190	-3.54135e-06	-0.566	0.566
   191	-2.14103e-06	-0.566	0.566
   192	-3.43659e-06	-0.566	0.566
   193	-3.95342e-06	-0.566	0.566
   194	-2.15144e-06	-0.566	0.566
   195	-6.02695e-06	-0.566	0.566
   196	-3.56456e-06	-0.566	0.566
   197	-3.3585e-06	-0.566	0.566
   198	-5.28525e-06	-0.566	0.566
   199	-3.43024e-06	-0.566	0.566
   200	-4.75813e-06	-0.566	0.566
   201	-2.54358e-06	-0.566	0.566
   202	-4.74622e-06	-0.566	0.566
   203	-2.86811e-06	-0.566	0.566
   204	-4.64204e-06	-0.566	0.566
   205	-2.43814e-06	-0.566	0.566
   206	-3.75932e-06	-0.566	0.566
   207	-3.70053e-06	-0.566	0.566
   208	-4.80506e-06	-0.566	0.566
   209	-3.51677e-06	-0.566	0.566
   210	-3.17878e-06	-0.566	0.566
   211	-2.66405e-06	-0.566	0.566
   212	-5.92117e-06	-0.566	0.566
   213	-4.47039e-06	-0.566	0.566
   214	-2.94095e-06	-0.566	0.566
   215	-1.64808e-06	-0.566	0.566
   216	-5.1227e-06	-0.566	0.566
   217	-3.11044e-06	-0.566	0.566
   218	-2.60961e-06	-0.566	0.566
   219	-3.22107e-06	-0.566	0.566
   220	-3.6542e-06	-0.566	0.566
   221	-3.40224e-06	-0.566	0.566
   222	-3.39428e-06	-0.566	0.566
   223	-2.30666e-06	-0.566	0.566
   224	-2.72458e-06	-0.566	0.566
   225	-4.91949e-06	-0.566	0.566
   226	-3.35431e-06	-0.566	0.566
   227	-3.88402e-06	-0.566	0.566
   228	-3.1532e-06	-0.566	0.566
   229	-5.55345e-06	-0.566	0.566
   230	-3.26862e-06	-0.566	0.566
   231	-4.55773e-06	-0.566	0.566
   232	-3.46843e-06	-0.566	0.566
   233	-4.82796e-06	-0.566	0.566
   234	-3.87444e-06	-0.566	0.566
   235	-4.08969e-06	-0.566	0.566
   236	-5.31934e-06	-0.566	0.566
   237	-3.12659e-06	-0.566	0.566
   238	-6.09762e-06	-0.566	0.566
   239	-2.86083e-06	-0.566	0.566
   240	-3.22927e-06	-0.566	0.566
   241	-3.32795e-06	-0.566	0.566
   242	-4.6422e-06	-0.566	0.566
   243	-3.51299e-06	-0.566	0.566
   244	-3.70549e-06	-0.566	0.566
   245	-3.86285e-06	-0.566	0.566
   246	-4.78712e-06	-0.566	0.566
   247	-3.67004e-06	-0.566	0.566
   248	-3.11654e-06	-0.566	0.566
   249	-4.45414e-06	-0.566	0.566
   250	-2.70016e-06	-0.566	0.566
   251	-3.28458e-06	-0.566	0.566
   252	-2.54524e-06	-0.566	0.566
   253	-4.20086e-06	-0.566	0.566
   254	-2.06571e-06	-0.566	0.566
   255	-2.39049e-06	-0.566	0.566
   256	-4.71215e-06	-0.566	0.566
   257	-4.83917e-06	-0.566	0.566
   258	-4.72233e-06	-0.566	0.566
   259	-3.20279e-06	-0.566	0.566
   260	-3.66346e-06	-0.566	0.566
   261	-3.90282e-06	-0.566	0.566
   262	-2.5173e-06	-0.566	0.566
   263	-2.32515e-06	-0.566	0.566
   264	-2.90083e-06	-0.566	0.566
   265	-4.01639e-06	-0.566	0.566
   266	-3.25058e-06	-0.566	0.566
   267	-3.31793e-06	-0.566	0.566
   268	-4.99663e-06	-0.566	0.566
   269	-2.32819e-06	-0.566	0.566
   270	-4.16594e-06	-0.566	0.566
   271	-3.93553e-06	-0.566	0.566
   272	-4.00199e-06	-0.566	0.566
   273	-2.6751e-06	-0.566	0.566
   274	-1.53213e-06	-0.566	0.566
   275	-2.91689e-06	-0.566	0.566
   276	-3.0795e-06	-0.566	0.566
   277	-3.39403e-06	-0.566	0.566
   278	-3.18521e-06	-0.566	0.566
   279	-4.94602e-06	-0.566	0.566
   280	-2.65068e-06	-0.566	0.566
   281	-3.70635e-06	-0.566	0.566
   282	-4.17406e-06	-0.566	0.566
   283	-4.05134e-06	-0.566	0.566
   284	-2.02655e-06	-0.566	0.566
   285	-4.52261e-06	-0.566	0.566
   286	-2.878e-06	-0.566	0.566
   287	-4.09102e-06	-0.566	0.566
   288	-2.99359e-06	-0.566	0.566
   289	-2.49152e-06	-0.566	0.566
   290	-3.75125e-06	-0.566	0.566
   291	-4.15224e-06	-0.566	0.566
   292	-2.41274e-06	-0.566	0.566
   293	-3.25909e-06	-0.566	0.566
   294	-4.40616e-06	-0.566	0.566
   295	-6.04028e-06	-0.566	0.566
   296	-2.70426e-06	-0.566	0.566
   297	-3.05879e-06	-0.566	0.566
   298	-3.54291e-06	-0.566	0.566
   299	-4.20079e-06	-0.566	0.566
   300	-4.16731e-06	-0.566	0.566
   301	-3.36279e-06	-0.566	0.566
   302	-3.94921e-06	-0.566	0.566
   303	-3.60915e-06	-0.566	0.566
   304	-3.36678e-06	-0.566	0.566
   305	-4.94298e-06	-0.566	0.566
   306	-2.86346e-06	-0.566	0.566
   307	-2.77865e-06	-0.566	0.566
   308	-3.62133e-06	-0.566	0.566
   309	-5.76239e-06	-0.566	0.566
   310	-4.84554e-06	-0.566	0.566
   311	-4.58101e-06	-0.566	0.566
   312	-4.75728e-06	-0.566	0.566
   313	-4.12881e-06	-0.566	0.566
   314	-4.68203e-06	-0.566	0.566
   315	-5.19616e-06	-0.566	0.566
   316	-2.36096e-06	-0.566	0.566
   317	-2.68549e-06	-0.566	0.566
   318	-2.94795e-06	-0.566	0.566
   319	-3.36172e-06	-0.566	0.566
   320	-3.07467e-06	-0.566	0.566
   321	-4.39363e-06	-0.566	0.566
   322	-3.01493e-06	-0.566	0.566
   323	-3.1594e-06	-0.566	0.566
   324	-4.40463e-06	-0.566	0.566
   325	-3.40308e-06	-0.566	0.566
   326	-3.37011e-06	-0.566	0.566
   327	-3.27722e-06	-0.566	0.566
   328	-3.08697e-06	-0.566	0.566
   329	-5.09363e-06	-0.566	0.566
   330	-2.5369e-06	-0.566	0.566
   331	-4.48371e-06	-0.566	0.566
   332	-3.22485e-06	-0.566	0.566
   333	-4.93779e-06	-0.566	0.566
   334	-2.3155e-06	-0.566	0.566
   335	-2.71944e-06	-0.566	0.566
   336	-4.73442e-06	-0.566	0.566
   337	-4.11077e-06	-0.566	0.566
   338	-3.97113e-06	-0.566	0.566
   339	-3.43695e-06	-0.566	0.566
   340	-4.33852e-06	-0.566	0.566
   341	-5.43575e-06	-0.566	0.566
   342	-4.08629e-06	-0.566	0.566
   343	-4.29031e-06	-0.566	0.566
   344	-7.06038e-06	-0.566	0.566
   345	-3.152e-06	-0.566	0.566
   346	-4.29232e-06	-0.566	0.566
   347	-3.02992e-06	-0.566	0.566
   348	-5.77819e-06	-0.566	0.566
   349	-3.48691e-06	-0.566	0.566
   350	-3.50541e-06	-0.566	0.566
   351	-2.61962e-06	-0.566	0.566
   352	-3.03738e-06	-0.566	0.566
   353	-3.0656e-06	-0.566	0.566
   354	-4.1438e-06	-0.566	0.566
   355	-2.9029e-06	-0.566	0.566
   356	-5.57364e-06	-0.566	0.566
   357	-4.02269e-06	-0.566	0.566
   358	-2.88916e-06	-0.566	0.566
   359	-2.72155e-06	-0.566	0.566
   360	-3.90322e-06	-0.566	0.566
   361	-2.54274e-06	-0.566	0.566
   362	-2.89453e-06	-0.566	0.566
   363	-3.047e-06	-0.566	0.566
   364	-3.27656e-06	-0.566	0.566
   365	-3.05937e-06	-0.566	0.566
   366	-3.47227e-06	-0.566	0.566
   367	-4.30295e-06	-0.566	0.566
   368	-5.36454e-06	-0.566	0.566
   369	-5.08194e-06	-0.566	0.566
   370	-2.04503e-06	-0.566	0.566
   371	-3.38738e-06	-0.566	0.566
   372	-4.72978e-06	-0.566	0.566
   373	-2.2054e-06	-0.566	0.566
   374	-3.28718e-06	-0.566	0.566
   375	-3.75802e-06	-0.566	0.566
   376	-2.62575e-06	-0.566	0.566
   377	-1.89148e-06	-0.566	0.566
   378	-3.42269e-06	-0.566	0.566
   379	-3.43677e-06	-0.566	0.566
   380	-4.39395e-06	-0.566	0.566
   381	-3.85099e-06	-0.566	0.566
   382	-3.00415e-06	-0.566	0.566
   383	-4.21294e-06	-0.566	0.566
   384	-2.36858e-06	-0.566	0.566
   385	-1.6551e-06	-0.566	0.566
   386	-3.74861e-06	-0.566	0.566
   387	-3.93815e-06	-0.566	0.566
   388	-2.77183e-06	-0.566	0.566
   389	-3.69821e-06	-0.566	0.566
   390	-3.37257e-06	-0.566	0.566
   391	-3.60285e-06	-0.566	0.566
   392	-2.23053e-06	-0.566	0.566
   393	-3.14936e-06	-0.566	0.566
   394	-6.57157e-06	-0.566	0.566
   395	-4.81731e-06	-0.566	0.566
   396	-2.89073e-06	-0.566	0.566
   397	-3.29939e-06	-0.566	0.566
   398	-2.82968e-06	-0.566	0.566
   399	-2.17592e-06	-0.566	0.566
   400	-5.28327e-06	-0.566	0.566
   401	-4.15491e-06	-0.566	0.566
   402	-4.04881e-06	-0.566	0.566
   403	-1.88046e-06	-0.566	0.566
   404	-2.73567e-06	-0.566	0.566
   405	-4.09805e-06	-0.566	0.566
   406	-2.84033e-06	-0.566	0.566
   407	-2.6203e-06	-0.566	0.566
   408	-4.82474e-06	-0.566	0.566
   409	-2.90626e-06	-0.566	0.566
   410	-4.46403e-06	-0.566	0.566
   411	-2.32371e-06	-0.566	0.566
   412	-3.39664e-06	-0.566	0.566
   413	-1.97016e-06	-0.566	0.566
   414	-4.16229e-06	-0.566	0.566
   415	-2.62119e-06	-0.566	0.566
   416	-2.8856e-06	-0.566	0.566
   417	-2.29087e-06	-0.566	0.566
   418	-5.7963e-06	-0.566	0.566
   419	-4.9367e-06	-0.566	0.566
   420	-2.15509e-06	-0.566	0.566
   421	-2.0842e-06	-0.566	0.566
   422	-2.45917e-06	-0.566	0.566
   423	-3.45741e-06	-0.566	0.566
   424	-2.67725e-06	-0.566	0.566
   425	-3.97633e-06	-0.566	0.566
   426	-5.15612e-06	-0.566	0.566
   427	-4.39388e-06	-0.566	0.566
   428	-2.73041e-06	-0.566	0.566
   429	-2.86664e-06	-0.566	0.566
   430	-3.9125e-06	-0.566	0.566
   431	-4.38795e-06	-0.566	0.566
   432	-5.67671e-06	-0.566	0.566
   433	-3.45571e-06	-0.566	0.566
   434	-2.89137e-06	-0.566	0.566
   435	-5.06244e-06	-0.566	0.566
   436	-3.419e-06	-0.566	0.566
   437	-4.12172e-06	-0.566	0.566
   438	-3.58828e-06	-0.566	0.566
   439	-2.08951e-06	-0.566	0.566
   440	-5.41187e-06	-0.566	0.566
   441	-3.32369e-06	-0.566	0.566
   442	-2.96852e-06	-0.566	0.566
   443	-4.00785e-06	-0.566	0.566
   444	-4.40179e-06	-0.566	0.566
   445	-5.36381e-06	-0.566	0.566
   446	-1.99887e-06	-0.566	0.566
   447	-2.68827e-06	-0.566	0.566
   448	-2.53739e-06	-0.566	0.566
   449	-4.08927e-06	-0.566	0.566
   450	-6.39297e-06	-0.566	0.566
   451	-2.7e-06	-0.566	0.566
   452	-4.60169e-06	-0.566	0.566
   453	-4.94064e-06	-0.566	0.566
   454	-2.98183e-06	-0.566	0.566
   455	-4.9705e-06	-0.566	0.566
   456	-4.63314e-06	-0.566	0.566
   457	-4.18297e-06	-0.566	0.566
   458	-3.13331e-06	-0.566	0.566
   459	-1.56169e-06	-0.566	0.566
   460	-2.95331e-06	-0.566	0.566
   461	-4.90583e-06	-0.566	0.566
   462	-4.09351e-06	-0.566	0.566
   463	-1.43495e-06	-0.566	0.566
   464	-3.05445e-06	-0.566	0.566
   465	-2.77769e-06	-0.566	0.566
   466	-2.66425e-06	-0.566	0.566
   467	-1.93406e-06	-0.566	0.566
   468	-3.25221e-06	-0.566	0.566
   469	-1.92818e-06	-0.566	0.566
   470	-4.93916e-06	-0.566	0.566
   471	-3.95482e-06	-0.566	0.566
   472	-1.6436e-06	-0.566	0.566
   473	-3.97144e-06	-0.566	0.566
   474	-3.03025e-06	-0.566	0.566
   475	-4.40716e-06	-0.566	0.566
   476	-4.41937e-06	-0.566	0.566
   477	-3.351e-06	-0.566	0.566
   478	-2.66356e-06	-0.566	0.566
   479	-4.10213e-06	-0.566	0.566
